name,risk,lat,lon
CORN MILL,Critical,55.20373,-6.523287
ROWAN'S GIFT 18 DRUMLAMPH LANE ,Critical,54.805401,-6.575092
COONEEN CHURCH,Critical,54.343829,-7.631873
17 VALLEY LANE,Critical,54.442926,-6.417565
11 MOYALLAN ROAD,Critical,54.381586,-6.368977
CLOUGH HOUSE,Critical,54.327699,-5.715767
73B TONGUE LOANEN ROAD,Critical,54.726187,-5.810121
PRESBYTERIAN CHURCH,Critical,,
STABLES,Critical,54.827387,-7.46331
TEMPO MANOR,Critical,54.343829,-7.631873
GARDEN COTTAGE AT FAVOR ROYAL HOUSE,Critical,54.508273,-6.766935
MOUNT PANTHER,Critical,54.327699,-5.715767
34 CLIFTONVILLE ROAD,Critical,54.614383,-5.939408
36 CLIFTONVILLE ROAD,Critical,54.614429,-5.939582
ST. PAUL’S CONVENT OF MERCY,Critical,54.615847,-5.968093
THE CHAPEL OF THE RESURRECTION,Critical,54.637364,-5.939148
KILLEA MORTUARY CHAPEL,Critical,54.996612,-7.308575
KILWAUGHTER CASTLE,Critical,54.845286,-5.884984
19-21 HIGH STREET MONEYMORE,Critical,54.691726,-6.670242
ST BRIGID'S CONVENT AND NATIONAL SCHOOL,Critical,54.641816,-6.744389
24 MEENABLAGH ROAD,Critical,54.710337,-7.79248
BALLAGH COTTAGE,Critical,54.343829,-7.631873
ESTATE COTTAGES,Critical,54.343829,-7.631873
COONEEN OLD CHURCH,Critical,54.343829,-7.631873
81 TULLYLAMMY ROAD,Critical,54.343829,-7.631873
GATE LODGE TO BLOOMHILL,Critical,54.508273,-6.766935
19 OLD LURGAN ROAD,Critical,54.43057,-6.407659
OUTBUILDINGS,Critical,54.455025,-6.321768
STABLES CASTLE DILLON,Critical,54.35028,-6.652792
FOUNTAIN,Critical,54.35028,-6.652792
FORMER DRUMBEE NATIONAL SCHOOL,Critical,54.35028,-6.652792
GLASSDRUMMAN HOUSE,Critical,54.135426,-5.893887
20 OLD ROAD,Critical,54.145066,-5.888256
FORMER QUAKER MEETING HOUSE,Critical,54.174251,-6.339199
37 BALLYKEEL ROAD,Critical,54.214211,-6.223288
11 BALLYCOSHONE ROAD,Critical,54.209327,-6.123428
ISABELLA TOWER ARDGLASS DOWN,Critical,54.327699,-5.715767
BURRENWOOD COTTAGE,Critical,54.327699,-5.715767
'BRIGHT VIEW' 63 KING STREET,Critical,54.19514,-5.884727
1 DORNAN’S ROAD,Critical,54.516246,-6.058011
EGLANTINE HOUSE,Critical,54.516246,-6.058011
2-6 MAIN STREET RANDALSTOWN ANTRIM,Critical,54.749833,-6.320477
KELLY'S,Critical,54.726187,-5.810121
ABBEY GATE LODGE & GATES,Critical,,
32-34 THE MOUNT,Critical,54.593761,-5.906131
36 THE MOUNT,Critical,54.593691,-5.905926
422 ANTRIM ROAD,Critical,54.624403,-5.938383
424 ANTRIM ROAD,Critical,54.624404,-5.93839
JENNYMOUNT MILL,Critical,54.597285,-5.93012
58-60 LOWER NORTH STREET,Critical,54.601083,-5.931051
FORMER TYNAN RAILWAY STATION,Critical,54.35028,-6.652792
CARFINTON COTTAGE ,Critical,55.070489,-6.517371
FORMER ST COLUMB'S CONVENT LONG TOWER PRIMARY SCHOOL,Critical,54.996612,-7.308575
43 MAIN STREET,Critical,55.205364,-6.523259
LIME KILNS BEHIND 111 & 113 GLENARM ROAD,Critical,54.86012,-5.808438
THATCHED HOUSE,Critical,54.343829,-7.631873
OUTBUILDINGS AT FARDROSS HOUSE,Critical,54.385732,-7.202497
13 ALTADAVEN ROAD,Critical,54.508273,-6.766935
GATE LODGE,Critical,54.246764,-6.492455
2-3 SUGARHOUSE QUAY,Critical,54.178966,-6.336946
GLENAVY MILL,Critical,54.516246,-6.058011
HARDFORD LODGE,Critical,,
MOUNTPLEASANT,Critical,,
1-5 MALONE PLACE BELFAST CO ANTRIM BT12 5FD BELFAST,Critical,54.588255,-5.936221
7 MALONE PLACE BELFAST CO ANTRIM BT12 5FD BELFAST,Critical,54.588101,-5.936923
3 DONEGALL STREET,Critical,54.60088,-5.927718
FORMER RESTAURANT 1 DONEGALL STREET,Critical,54.60109,-5.927186
THATCHED HOUSE BESIDE,Critical,54.827387,-7.46331
"	159 TULLYSARAN ROAD LARAGHSHANKILL BENBURB CO. ARMAGH BT61 8HF ARMAGH",Critical,54.382961,-6.720715
EAST LODGE TO TAMNAHARRY HOUSE,Critical,54.174251,-6.339199
5 CORBALLY ROAD,Critical,54.671792,-6.263271
2,Critical,54.380288,-5.548155
POMEROY MARKET HOUSE,Critical,54.641816,-6.744389
THE TREAD WHEEL,Critical,54.602452,-7.30645
NATIONAL SCHOOL (ADCACENT TO CONVENT OF MERCY HB13/20/012) NORTHLAND ROW,Critical,54.508273,-6.766935
KINGHILL,Critical,54.174251,-6.339199
3,Critical,54.414641,-6.149572
WINDMILL STUMP,Critical,54.327699,-5.715767
THE WEE BANK SOCIAL CLUB,Critical,54.600243,-5.942351
1 LENNOXVALE MALONE ROAD BELFAST CO ANTRIM BT9 5BY BELFAST,Critical,54.578315,-5.93884
241 NEWRY ROAD KILKEEL NEWRY/MOURNE,Critical,54.067381,-6.040146
BROOKFIELD HOUSE,Critical,,
41 COURT STREET,Critical,54.591416,-5.694736
43 COURT STREET,Critical,54.591404,-5.69462
49 COURT STREET,Critical,54.591402,-5.696305
53 COURT STREET,Critical,54.591347,-5.694042
55 COURT STREET,Critical,54.591335,-5.693926
GOSFORD CASTLE,High,54.35028,-6.652792
THE CASTLE (AKA RICHHILL HOUSE),High,54.35028,-6.652792
ROSS MONUMENT,High,54.174251,-6.339199
KILLEVY CASTLE,High,54.174251,-6.339199
4 TRUMMERY LANE,High,54.516246,-6.058011
PROSPECT HOUSE,High,54.726255,-5.831491
CLELAND MAUSOLEUM,High,54.575725,-5.888274
COUNTY GAOL,High,54.615847,-5.968093
ST. PATRICK'S R C CHURCH CHURCH ST. ,High,53.862935,-7.317751
FORMER NATIONAL SCHOOL,High,,
139 TIRKANE ROAD TIRKANE ,High,54.876086,-6.717073
ST. PATRICK'S R C CHURCH,High,54.758095,-6.707466
FORMER DISTRICT COUNCIL OFFICES,High,54.343829,-7.631873
DONAGH HOUSE,High,54.343829,-7.631873
TATTYKEERAN C OF I CHURCH,High,54.343829,-7.631873
OLD MILL BUILDINGS,High,54.508273,-6.766935
PAVILLION,High,54.60296,-7.0941
6-8 KILLYMAN ROAD,High,54.503577,-6.757382
C OF I CHURCH,High,54.35028,-6.652792
54 MAIN STREET,High,54.297794,-6.520955
56 MAIN STREET,High,54.297794,-6.520955
58 MAIN STREET,High,54.297794,-6.520955
151 HAMILTON’S BAWN ROAD,High,54.35028,-6.652792
WOODVIEW,High,54.174251,-6.339199
1 DANDY ROW,High,54.375016,-6.28761
28 BALLYMORE ROAD,High,54.348729,-6.27048
HARBOUR WAREHOUSE,High,54.263303,-5.610833
GATE LODGE,High,54.327699,-5.715767
119 MAIN STREET,High,54.327699,-5.715767
121 MAIN STREET,High,54.327699,-5.715767
33 CASTLE ST.  LISBURN ,High,54.51213,-6.040795
OLD MASONIC HALL,High,54.516246,-6.058011
DISUSED LIME KILNS,High,54.516246,-6.058011
LISNASHANKER HOUSE,High,54.516246,-6.058011
CHURCH OF THE SACRED HEART,High,54.719534,-6.20725
4 CHURCH STREET,High,54.382123,-5.547255
WADDELL-CUNNINGHAM MONUMENT,High,54.575725,-5.888274
RAINEY-GODDARD MONUMENT,High,54.575725,-5.888274
OUR LADY OF THE HOLY ROSARY CHURCH,High,54.573608,-5.915675
FOUNTAIN,High,54.591457,-5.96501
FORMER POLICE BARRACKS,High,54.598561,-5.933176
1 MILL STREET TERRACE,High,54.508273,-6.766935
2 MILL STREET TERRACE,High,54.508273,-6.766935
HOUSE AT 53 DEERPARK ROAD,High,54.910582,-5.990671
OLD ('CRUCK') HOUSE AT 77 STRAID ROAD,High,54.865294,-6.280221
FORMER COMMON BARN,High,54.641816,-6.744389
HERDMANS' MILL,High,54.785652,-7.468277
FARMHILL CLONCALLICK NEWTOWNBUTLER CO FERMANGH BT92 6DA FERMANAGH,High,54.343829,-7.631873
70 CROAGHRIM ROAD,High,54.343829,-7.631873
NECARNE CASTLE,High,54.343829,-7.631873
COTTAGE AND OUTBUILDINGS AT 74 ALDERWOOD ROAD,High,54.343829,-7.631873
FAVOR ROYAL,High,54.430198,-7.027677
OUTBUILDINGS,High,54.508273,-6.766935
BALLINDARRANG LODGE ,High,54.35028,-6.652792
FORMER DONAGHMORE METHODIST CHURCH,High,54.174251,-6.339199
9 DOWNSHIRE PLACE,High,54.182202,-6.332559
21 ST. COLMAN’S PARK,High,54.172862,-6.339428
CASTLEWELLAN FOREST PARK,High,54.255247,-5.951911
FLORIDA MANOR,High,,
GREG MONUMENT,High,54.575725,-5.888274
MOUNT POTTINGER YMCA,High,54.595596,-5.900473
ADMINISTRATION AND DRAWING OFFICE BLOCK (HARLAND & WOLFF),High,54.609872,-5.905241
HENRY GARRETT BUILDING ,High,54.597285,-5.93012
16 UPPER CRESCENT,High,54.587212,-5.933746
THE COURT-HOUSE,High,54.615847,-5.968093
DUNCAIRN PRESBYTERIAN CHURCH,High,54.626591,-5.937994
CARLISLE MEMORIAL METHODIST CHURCH,High,54.607513,-5.936498
WAREHOUSE AT 42 WARING STREET ('COTTON COURT'),High,54.597285,-5.93012
FARRANCASSIDY HOUSE,High,54.343829,-7.631873
LEARMOUNT CASTLE,High,54.908375,-7.148798
LING HOUSE,High,54.996612,-7.308575
124 GORTREE ROAD GORTICROSS ,High,54.996612,-7.308575
FACTORY,High,,
DERRY CATHEDRAL PRIMARY SCHOOL,High,54.994595,-7.322592
20 CRAWFORD SQUARE,High,55.003853,-7.327228
CATHER VAULT BALLYKELLY OLD GRAVEYARD,High,55.051651,-7.025146
5 LARAGH LANE MAGHERA CO. LONDONDERRY BT46 5NT COLERAINE,High,55.13258,-6.66461
LODGE,High,55.13258,-6.66461
FORMER IRISH SOCIETY SCHOOL ,High,55.13258,-6.66461
FORMER COLERAINE UNION WORKHOUSE 'FRONT BUILDING',High,55.13258,-6.66461
BALLYNACREE LODGE ,High,52.691883,-6.214341
GLENDUN HOTEL,High,,
41 FAIRHEAD ROAD,High,55.213776,-6.144486
THE OLD COURT HOUSE,High,,
100 MAIN STREET,High,55.204894,-6.523195
FORMER NORTHERN BANK,High,,
ROYAL BAR,High,,
KELP STORE,High,,
MILL,High,,
186 COAST ROAD,High,54.8578,-5.823622
CAIRNDHU,High,54.8578,-5.823622
FARM BUILDINGS AT RED HALL,High,54.8578,-5.823622
ICE HOUSE,High,54.8578,-5.823622
FARM BUILDINGS AT KILWAUGHTER CASTLE,High,54.8578,-5.823622
BALLYLORAN HOUSE BALLYHAMPTON ROAD BALLYLORAN LARNE CO ANTRIM BT40 2ST LARNE,High,54.847804,-5.853084
15 TAMNYMULLAN LANE MONEYSHARVAN ROAD MAGHERA CO. LONDONDERRY BT46 5HS MAGHERAFELT,High,54.755373,-6.60798
OLD MILL WILLIAM CLARK AND SONS LTD UPPERLANDS CO LONDONDERRY BT46 5UP MAGHERAFELT,High,54.755373,-6.60798
19 RANAGHAN ROAD,High,54.854453,-6.700627
LISSAN HOUSE,High,54.674199,-6.752566
CORN STORE,High,54.641816,-6.744389
7 KILLETER ROAD CASTLEDERG,High,54.709973,-7.5965
94 SCRAGHY ROAD,High,54.631047,-7.656134
40 PEACOCK ROAD,High,54.827387,-7.46331
GRANGE HOUSE,High,54.827387,-7.46331
9 MULLAWINNY ROAD FINTONA,High,54.597715,-7.30996
TERMON HOUSE,High,54.597715,-7.30996
MANOR COURT HOUSE,High,54.343829,-7.631873
44 HIGH STREET,High,54.343829,-7.631873
DONAGHUE'S COTTAGE,High,54.343829,-7.631873
CANAL WAREHOUSE,High,54.343829,-7.631873
THATCHED COTTAGE,High,54.343829,-7.631873
39 KILLYCARNAN ROAD,High,54.343829,-7.631873
KINAWLEY RECTORY,High,54.343829,-7.631873
GARDENHILL HOUSE,High,54.343829,-7.631873
VERNACULAR HOUSE,High,54.343829,-7.631873
102 SALLON ROAD,High,54.343829,-7.631873
22 WILLOUGHBY PLACE,High,54.349065,-7.651223
24 WILLOUGHBY PLACE,High,54.349104,-7.651326
FORMER POOR LAW HOSPITAL,High,54.508273,-6.766935
GATE LODGE AT DAISYHILL HOUSE,High,54.508273,-6.766935
39 CHARLEMONT STREET,High,54.474549,-6.729923
SERVICE SECTION OF ALEXANDER HOUSE,High,54.508273,-6.766935
GATE LODGE,High,54.508273,-6.766935
LAUREL VIEW VILLA,High,54.508273,-6.766935
FORMER RUC STATION,High,54.508273,-6.766935
KILLYMEAL HOUSE,High,54.508273,-6.766935
57 DERRYCARNE ROAD (AKA ROBBS FERRY HOUSE),High,54.442926,-6.417565
MAHON HOUSE,High,54.409426,-6.455579
FLATFIELD HALL,High,54.442926,-6.417565
HOLLYMOUNT HOUSE,High,54.442926,-6.417565
138 GILFORD ROAD,High,54.417207,-6.412464
OLD METHODIST CHURCH,High,54.442926,-6.417565
OLD METHODIST MANSE,High,54.442926,-6.417565
GRAINOGE,High,54.447081,-6.312003
GATEWAY TO CHARLEMONT FORT,High,54.35028,-6.652792
BRIDGE HOUSE,High,54.35028,-6.652792
LAUREL HILL,High,54.35028,-6.652792
FRIZELLS COTTAGE ARDRESS CO. ARMAGH ARMAGH,High,54.35028,-6.652792
66 KILMORE ROAD,High,54.399969,-6.547973
GATE LODGE AT HOCKLEY LODGE,High,,
180 MULLALELISH ROAD,High,54.35028,-6.652792
FORMER CABRA PRIMARY SCHOOL,High,54.35028,-6.652792
TANDRAGEE CASTLE,High,54.35028,-6.652792
25 MAIN STREET,High,54.33988,-6.546354
29 GOSFORD ROAD,High,54.301902,-6.521238
LISNAGAT HOUSE,High,54.35028,-6.652792
MAYDOWN HOUSE,High,54.35028,-6.652792
KNAPPA VALE,High,54.35028,-6.652792
MANOR HOUSE SPECIAL CARE HOSPITAL,High,54.35028,-6.652792
MCCRUM INSTITUTE (BALLROOM& REAR BLOCK),High,54.35028,-6.652792
151 THE ROCK ROAD BALLYNAHONE BEG ARMAGH BT60 3NR ARMAGH,High,54.32865,-6.669911
LLIMAH,High,54.35028,-6.652792
DRUMCONWELL COTTAGE,High,54.305467,-6.659695
55 UPPER ENGLISH STREET,High,54.349984,-6.655231
GREEN GATE LODGE,High,54.174251,-6.339199
ST JOHN'S C OF I CHURCH,High,54.174251,-6.339199
HILLTOWN LODGE,High,54.196046,-6.138539
HOUSE YARD AT CABRA HOUSE,High,,
CLOGHOGUE LODGE,High,54.174251,-6.339199
4 DROMANTINE ROAD,High,54.174251,-6.339199
63 CANAL STREET,High,54.180468,-6.33921
65 CANAL STREET,High,54.180553,-6.339461
GLEBE HOUSE,High,54.174251,-6.339199
GILFORD MILL,High,54.377736,-6.365228
170 HUNTLY ROAD MILLTOWN BANBRIDGE COUNTY DOWN BT32 3BJ BANBRIDGE,High,54.356072,-6.279591
172 HUNTLY ROAD MILLTOWN BANBRIDGE COUNTY DOWN BT32 3BJ BANBRIDGE,High,54.356072,-6.279591
14 MAIN STREET,High,54.348729,-6.27048
FORMER RUC STATION,High,54.348729,-6.27048
GATE LODGES TO BROOKFIELD,High,54.348729,-6.27048
BALLOLEY COTTAGE,High,54.339099,-6.171931
47A KILMACREW ROAD,High,54.348729,-6.27048
24 MEETING STREET,High,54.413121,-6.148791
JOHN MARTIN MONUMENT,High,54.40926,-5.6636
FORMER MARKET HOUSE,High,54.327699,-5.715767
LECTURE HALL (FORMER SCHOOLHOUSE),High,54.327699,-5.715767
ROSSCONOR HOUSE,High,54.327699,-5.715767
4 KILDARE STREET,High,54.259311,-5.607325
6 KILDARE STREET,High,54.25898,-5.606883
DOWNPATRICK GATE LODGE,High,54.327699,-5.715767
199 NEWCASTLE ROAD,High,54.340835,-5.841505
9 ENGLISH STREET,High,54.32855,-5.719157
20 SCROGGY ROAD,High,54.516246,-6.058011
6 LISBURN ROAD,High,54.516246,-6.058011
4 GLEN ROAD BALLYNALARGY LISBURN CO. ANTRIM BT27 5JR LISBURN,High,54.509332,-5.985219
TURNPIKE COTTAGE,High,54.516246,-6.058011
THE HOWE 16 HOWE ROAD BALLYKEEL DROMORE COUNTY DOWN BT25 1ET LISBURN,High,54.516246,-6.058011
PORTIONS OF BARBOUR CAMPBELL THREADS LTD.,High,54.516246,-6.058011
RECTORY,High,54.516246,-6.058011
LAVERTY'S PUB,High,54.719534,-6.20725
THE FORGE JOHN STREET RANDALSTOWN,High,54.74919,-6.319856
ANTRIM CASTLE GATEHOUSE MARKET SQUARE,High,54.715227,-6.221574
892 ANTRIM ROAD,High,54.703881,-6.093281
STEPHENSON MAUSOLEUM,High,54.685279,-5.964502
OLD BAWN,High,54.685279,-5.964502
CRAIGOWEN LODGE,High,54.327699,-5.715767
ST. COLUMBANUS,High,54.327699,-5.715767
CULTRA STATION HOUSE,High,54.327699,-5.715767
1 STEWART'S PLACE,High,54.642973,-5.832965
22-24 FERRY STREET PORTAFERRY ,High,54.380405,-5.547791
7 HIGH STREET,High,54.382772,-5.543363
2-4 CHURCH STREET PORTAFERRY,High,54.382123,-5.547255
19 HIGH STREET ,High,54.641761,-5.536613
146 PORTAFERRY ROAD,High,,
FARM YARD,High,,
PUMP HOUSE,High,54.614376,-5.901718
RUPERT STANLEY COLLEGE,High,54.59609,-5.90166
ST MATTHIAS' RC CHURCH,High,54.578243,-6.006471
127 ORMEAU ROAD,High,54.586832,-5.923562
129 ORMEAU ROAD,High,54.586734,-5.923905
131 ORMEAU ROAD,High,54.586695,-5.9235
7 LOWER CRESCENT,High,54.587711,-5.934063
14 UPPER CRESCENT,High,54.587147,-5.934044
15 UPPER CRESCENT,High,54.587177,-5.933791
95 LISBURN ROAD,High,54.58506,-5.940963
EWART HOUSE,High,54.593688,-5.931122
RIDDEL’S BUILDING,High,54.599334,-5.924599
ST JOSEPH'S RC PAROCHIAL HOUSE,High,54.607627,-5.919565
76-88 ROYAL AVENUE AND 104 NORTH STREET,High,54.602104,-5.931569
27-37 TALBOT STREET,High,54.602621,-5.927668
NORTH STREET ARCADE,High,54.601324,-5.932023
FLORAL HALL,High,54.597285,-5.93012
CORNSTORE,High,54.327699,-5.715767
MILL (CHARLEY'S BLEACHWORKS),High,54.516246,-6.058011
121 DRUMHILLERY ROAD,High,54.35028,-6.652792
MILLBROOK MILL 350 LONGLAND ROAD,High,54.996612,-7.308575
STABLES AT BOOMHALL,High,54.996612,-7.308575
SOUTH GATE LODGE,High,54.991538,-7.268136
DAIRY BUILDING,High,54.996612,-7.308575
OUTBUILDINGS,High,54.959754,-7.357471
GLASVEY HOUSE,High,55.045456,-6.933676
SAMPSON’S MEMORIAL TOWER,High,55.045456,-6.933676
77 BOLEA ROAD,High,55.06434,-6.908239
1 THE DIAMOND,High,55.182596,-6.717572
3 THE DIAMOND,High,55.182504,-6.717622
'ANTRIM HOUSE' 73 MAIN STREET,High,54.982892,-6.687645
65 MAIN STREET,High,55.205364,-6.523259
MARKET YARD,High,,
MANOR HOUSE HOME,High,55.201988,-6.238487
BROCKLEY HOUSE,High,,
BROCKLEY COTTAGE,High,55.298891,-6.18989
ST JOHN’S SCHOOL,High,54.851132,-5.800048
LIME KILN,High,54.993191,-5.990137
6 ALTMORE STREET,High,54.965858,-5.953406
STABLES AT CAIRNDHU,High,54.8578,-5.823622
LODGE AT HILLMOUNT,High,54.877724,-5.839276
MILL AT RED HALL,High,54.8578,-5.823622
GARDEN TURRET AT RED HALL,High,54.8578,-5.823622
WALLED GARDEN AT,High,54.8578,-5.823622
LIME KILNS GREENLAND ROAD,High,54.860019,-5.820892
8 BOYNE ROW,High,54.879135,-6.642025
12 BOYNE ROW,High,54.879135,-6.642025
89 TIRKANE ROAD,High,54.846185,-6.695783
OLD COURT HOUSE,High,54.593572,-6.923028
ROSSMORE GATES & LODGE LISSAN HOUSE DEMESNE DRUMGRASS ROAD COOKSTOWN BT80 9SW COOKSTOWN,High,,
MOREE HOUSE 19 OUGHTERARD ROAD DUNGANNON,High,54.582131,-6.854063
23/25 HIGH STREET MONEYMORE MAGHERAFELT CO LONDONDERRY BT45 7PA COOKSTOWN,High,54.691838,-6.670298
GATE LODGE,High,54.624016,-6.678975
3 MOYLE ROAD,High,54.715311,-7.37543
ZION HOUSE,High,54.785798,-7.472166
MILLER'S CORNMILL,High,54.827387,-7.46331
MCELGUNN’S COTTAGE,High,54.343829,-7.631873
COTTAGE,High,54.325096,-7.487465
RAILWAY WATCH HOUSE,High,54.343829,-7.631873
HOUSE SANDHOLES NEWTOWNBUTLER CO FERMANAGH BT92 8LW FERMANAGH,High,54.343829,-7.631873
COLEBROOK GATELODGE FERMANAGH,High,54.343829,-7.631873
MCBRIEN’S,High,54.343829,-7.631873
CORN MILL LEGINN DERRYLIN ENNISKILLEN CO.FERMANAGH FERMANAGH,High,54.343829,-7.631873
GATE LODGE TO KINAWLEY RECTORY,High,54.343829,-7.631873
COLEMAN’S,High,54.343829,-7.631873
68 BOHO ROAD,High,54.343829,-7.631873
146 BROLLAGH ROAD,High,54.343829,-7.631873
GATE LODGE,High,54.343829,-7.631873
THE HARP AND CROWN 37 DARLING ST. ENNISKILLEN,High,54.343829,-7.631873
FIRST TRUST BANK,High,54.539307,-6.704463
LEVEL-CROSSING KEEPER'S HOUSE,High,54.508273,-6.766935
LEVEL-CROSSING KEEPER'S HOUSE,High,54.508273,-6.766935
EAST GATE LODGE ST JOSEPH'S CONVENT,High,54.508273,-6.766935
DRUMGLASS HOUSE,High,54.508273,-6.766935
LAUREL COTTAGE,High,54.442926,-6.417565
SINTON'S MILL,High,,
FORMER POYNTZPASS PRIMARY SCHOOL RAILWAY STREET POYNTZPASS CO ARMAGH BT35 6SN ARMAGH,High,54.35028,-6.652792
MILL VIEW HOUSE,High,54.35028,-6.652792
FORMER BEETLING MILL,High,54.35028,-6.652792
THE WHITE HOUSE,High,54.292368,-6.847217
NORTH GATE LODGE,High,54.35028,-6.652792
FORMER LOCK HOUSE,High,54.35028,-6.652792
CORN AND FLAX MILLS,High,54.35028,-6.652792
41 KNAPPAGH ROAD,High,54.362013,-6.770466
23 DOBBIN ST. ,High,54.345866,-6.653503
355 NEWRY ROAD,High,54.174251,-6.339199
KILN,High,54.174251,-6.339199
FLAX MILL,High,54.174251,-6.339199
